genre;women_speech_duration_2020;men_speech_duration_2020;women_expression_rate_2020
Information - Journal;10733020.959999997;16666252.559999967;0.3917264796150701
Information - Magazine;12265253.54000001;28520630.37999996;0.30072300416629094
Information - Autres émissions;286694.2799999994;489202.0799999994;0.36950074105258063
Documentaire;710360.9599999995;1159896.7800000012;0.37981982098360373
Magazine;18222632.139999893;28479390.23999992;0.39018935821939377
Divertissement - Variétés;400969.77999999997;742060.0399999997;0.35079555492261794
Divertissement - Jeux;1330079.9600000002;2149085.780000003;0.38229853344095044
Divertissement - Autres;2863331.3200000008;4544665.439999997;0.38651897574534055
Sport;1031995.2199999999;6842492.439999989;0.1310555384120065
Autres émissions - Elément de programme/Habillage;5989.899999999995;16972.439999999995;0.26085756068414623
Autres émissions - Autres;350685.4799999999;508552.6399999997;0.4081353839375749
Non Renseigné;508041.09999999945;913072.0800000003;0.35749517149647403
Musique;177836.09999999983;226377.7599999997;0.4399554730755646
